Shop,AFFECTED_COMPONENT,FAILURE_NAME,CURRENT_UTILITY,OPTIMAL_UTILITY,CRITICALITY,CONNECTIVITY,RELIABILITY,IMPORTANCE,PROVIDED_INTERFACE,REQUIRED_INTERFACE,ADT, PMax,alpha,In Use REPLICA,LOAD,COSTS,RULE,Column1,Column2
mRUBiS #1,Category Item Filter,CF2,3.64E-12,21847.0368,20,7,0.5,22,6,1,1.006633364,9.717121663,137.9606875,0,0,0.35,RestartComponent,,
mRUBiS #1,Availability Item Filter,CF5,0,15902.57753,23,8,0.5,22,7,1,1.110298158,5.972367311,77.34298858,0,4586,0.5,AddReplica,,
mRUBiS #1,Region Item Filter,CF3,0,9801.489426,24,5,0.5,22,4,1,1.175641639,5.323259165,154.1970896,40,4586,1.72,HwRedeployComponent,,
mRUBiS #1,Inventory Service,CF3,0,34197.19428,11,9,0.5,22,7,2,1.203441787,13.46289992,85.65241198,0,0,1.84,HwRedeployComponent,,
mRUBiS #1,Recommendation Item Filter,CF1,0,13152.4802,30,5,0.5,22,4,1,1.197651763,5.804851083,144.2496651,0,0,1.53,LwRedeployComponent,,
mRUBiS #1,Item Management Service,CF3,0,18480.55531,25,4,0.5,22,0,4,1.07715525,13.44823772,126.9011752,0,0,1.69,HwRedeployComponent,,
mRUBiS #1,Query Service,CF5,2.91E-11,197141.4084,27,70,0.5,22,69,1,1.101619202,6.164631462,85.67035109,55,4586,0.5,AddReplica,,
mRUBiS #1,User Management Service,CF2,0,18789.76288,30,4,0.5,22,0,4,1.460128436,12.90307103,167.7922013,0,0,1.64,LwRedeployComponent,,
mRUBiS #1,User Management Service,CF3,0,18789.76288,30,4,0.5,22,0,4,1.460128436,12.90307103,167.7922013,0,0,1.69,HwRedeployComponent,,
mRUBiS #1,Bid and Buy Service,CF1,0,10622.53476,27,5,0.5,22,0,5,1.35613418,8.060657087,73.9594634,59,4586,1.53,LwRedeployComponent,,
mRUBiS #1,Recommendation Item Filter,CF3,0,13152.4802,30,5,0.5,22,4,1,1.197651763,5.804851083,144.2496651,0,0,1.72,HwRedeployComponent,,
mRUBiS #1,Bid and Buy Service,CF5,0,10725.93164,27,5,0.5,22,0,5,1.35613418,8.060657087,73.9594634,59,4586,0.5,AddReplica,,
